indicador,periodo,codigo_ine,valor,umbral
D-1,2022,43148,4.57,
D-2-a,2018,43148,61.44,
D-2-b,2018,43148,28.21,
D-2-d,2018,43148,12.65,
D-3-a,2018,43148,0.33,
D-3-b,2018,43148,0.56,
D-4,2022,43148,41.26,
D-5,2018,43148,2.27,
D-6,2022,43148,92.40,
D-7,2018,43148,3.84,
D-8,2022,43148,37.90,
D-9,2022,43148,32.02,
D-10-a,2018,43148,0.46,
D-10-b,2018,43148,47.20,
D-ST-1,2022,43148,30.34,
D-ST-2,2022,43148,24.45,
D-ST-3,2022,43148,21.24,
D-ST-4,2022,43148,6.97,
D-ST-5,2022,43148,7.18,
D-14,2022,43148,25.73,
D-17-a,2021,43148,101.30,
D-17-b,2021,43148,6.77,
D-18-a,2022,43148,550.88,
D-18-b,2022,43148,72.04,
D-18-c,2022,43148,10.87,
D-22-a,2022,43148,17.80,
D-22-b,2022,43148,10.80,
D-23,2022,43148,14.10,
D-24-a,2022,43148,47.80,
D-24-b,2022,43148,21.30,
D-24-c,2022,43148,28.70,
D-26-a,2022,43148,0.29,
D-26-b,2022,43148,20.26,
D-26-c,2022,43148,5.21,
D-26-d,2022,43148,74.24,
D-27-a,2022,43148,0.26,
D-27-b,2022,43148,10.37,
D-27-c,2022,43148,6.63,
D-27-d,2022,43148,82.73,
D-28-a,2022,43148,7.88,
D-28-b,2022,43148,33.72,
D-28-c,2022,43148,56.42,
D-29,2021,43148,423.31,
D-32,2021,43148,2.77,
D-33,2021,43148,0.66,
D-34,2021,43148,2.62,
D-35,2021,43148,9.98,
D-ST-6,2022,43148,23.88,
D-ST-7,2022,43148,101.08,
D-37,2022,43148,PG,
D-38,2022,43148,"2,013.00",
D-1,2022,43123,5.50,
D-14,2022,43123,32.60,
D-18-a,2022,43123,519.77,
D-18-b,2022,43123,68.45,
D-18-c,2022,43123,17.69,
D-22-a,2022,43123,17.10,
D-22-b,2022,43123,10.80,
D-23,2022,43123,16.50,
D-24-a,2022,43123,48.80,
D-24-b,2022,43123,23.00,
D-24-c,2022,43123,27.70,
D-26-a,2022,43123,1.13,
D-26-b,2022,43123,9.45,
D-26-c,2022,43123,5.67,
D-26-d,2022,43123,83.75,
D-27-a,2022,43123,0.66,
D-27-b,2022,43123,10.80,
D-27-c,2022,43123,7.59,
D-27-d,2022,43123,80.95,
D-28-a,2022,43123,8.54,
D-28-b,2022,43123,32.23,
D-28-c,2022,43123,56.85,
D-37,2022,43123,PG,
D-38,2022,43123,"2,005.00",
D-4,2022,43123,54.14,
D-6,2022,43123,141.14,
D-8,2022,43123,62.58,
D-9,2022,43123,25.97,
D-ST-1,2022,43123,22.20,
D-ST-2,2022,43123,21.25,
D-ST-3,2022,43123,18.23,
D-ST-4,2022,43123,5.44,
D-ST-5,2022,43123,0.00,
D-ST-6,2022,43123,8.89,
D-ST-7,2022,43123,36.32,
D-17-a,2021,43123,99.13,
D-17-b,2021,43123,4.44,
D-29,2021,43123,408.46,
D-32,2021,43123,2.25,
D-33,2021,43123,-2.42,
D-34,2021,43123,2.34,
D-35,2021,43123,10.96,
D-10-a,2018,43123,0.62,
D-10-b,2018,43123,55.14,
D-2-a,2018,43123,47.11,
D-2-b,2018,43123,12.63,
D-2-d,2018,43123,38.82,
D-3-a,2018,43123,0.14,
D-3-b,2018,43123,0.30,
D-5,2018,43123,1.60,
D-7,2018,43123,21.70,
D-2-c,2017,43123,1.39,
D-1,2022,43163,6.79,
D-2-a,2018,43163,48.91,
D-2-b,2018,43163,14.91,
D-2-d,2018,43163,39.72,
D-3-a,2018,43163,0.07,
D-3-b,2018,43163,0.16,
D-4,2022,43163,53.68,
D-5,2018,43163,4.36,
D-6,2022,43163,54.91,
D-7,2018,43163,54.33,
D-8,2022,43163,41.65,
D-9,2022,43163,25.38,
D-10-a,2018,43163,0.27,
D-10-b,2018,43163,56.67,
D-ST-1,2022,43163,9.18,
D-ST-2,2022,43163,55.91,
D-ST-3,2022,43163,52.90,
D-ST-4,2022,43163,6.72,
D-ST-5,2022,43163,10.64,
D-14,2022,43163,31.32,
D-17-a,2021,43163,77.37,
