indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
D-1,descriptivo,Variación de la población en los últimos diez años disponibles,,,,,,%,QT,a,,,,,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;6;7;8;9;10,,D-1,,
D-2-a,descriptivo,Superficie de cobertura artificial por municipio,,,,,,%,QT,d,,,,,1;3,1;3,,D-2-a,,
D-2-b,descriptivo,Superficie de cultivos por municipio,,,,,,%,QT,a,,,,,1;3,1;3,,D-2-b,,
D-2-d,descriptivo,Superficie de zona forestal y dehesas por municipio,,,,,,%,QT,a,,,,,1;3,1;3,,D-2-d,,
D-3-a,descriptivo,Superficie municipal destinada a explotaciones agrarias y forestales,,,,,,%,QT,a,,,,,1;3,1;3,,D-3-a,,
D-3-b,descriptivo,Superficie destinada a explotaciones agrarias y forestales respecto al suelo urbano y urbanizable delimitado de la ciudad,,,,,,%,QT,a,,,,,1;3,1;3,,D-3-b,,
D-4,descriptivo,Superficie municipal de suelo no urbanizable,,,,,,%,QT,d,,,,,1;10,1;10,,D-4,,
D-5,descriptivo,Superficie de zonas verdes por cada 1.000 habitantes,,,,,,m2/Hab,QT,a,,,,,1;3,1;3,,D-5,,
D-6,descriptivo,Densidad Urbana,Número de habitantes por hectárea de superficie de suelo urbano,,,,,hab/ha,QT,a,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-6,,
D-7,descriptivo,Superficie de suelo urbano mixto discontinuo sobre suelo urbano mixto total,,,,,,%,QT,a,,,,,1;2;5,1;2;5,,D-7,,
D-8,descriptivo,Densidad de vivienda por superficie de suelo urbano,,,,,,Viv/Hab,QT,a,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-8,,
D-9,descriptivo,Compacidad urbana,Superficie construida total por superficie de suelo,,,,,%,QT,a,,,,,2;5;6,2;5;6,,D-9,,
D-10-a,descriptivo,Superficie construida de uso residencial por superficie de suelo,,,,,,%,QT,a,,,,,2;5;6,2;5;6,,D-10-a,,
D-10-b,descriptivo,Superficie construida de uso residencial respecto al total de superficie construida,,,,,,%,QT,a,,,,,2;5;6,2;5;6,,D-10-b,,
D-ST-1,descriptivo,Densidad de viviendas previstas en las áreas de suelo de desarrollo,,,,,,Viv/Hab,QT,a,,,,,2;5;6;8,2;5;6;8,,D-ST-1,,
D-ST-2,descriptivo,Porcentaje de áreas de suelo de desarrollo respecto al total del suelo urbano,,,,,,%,QT,d,,,,,1;2;10,1;2;10,,D-ST-2,,
D-ST-3,descriptivo,Suelo urbanizable delimitado respecto al total del suelo urbano,,,,,,%,QT,d,,,,,1;2;10,1;2;10,,D-ST-3,,
D-ST-4,descriptivo,Porcentaje de áreas de suelo en desarrollo de uso residencial respecto al total de suelo urbano,,,,,,%,QT,d,,,,,1;2,1;2,,D-ST-4,,
D-ST-5,descriptivo,Porcentaje de áreas de suelo en desarrollo de uso actividades económica (industrial o terciario) respecto al total de suelo urbano,,,,,,%,QT,a,,,,,1;2;6;7,1;2;6;7,,D-ST-5,,
D-14,descriptivo,Porcentaje del parque edificatorio por municipio con una antigüedad anterior al año 2000,,,,,,%,QT,a,,,,,2;3;4,2;3;4,,D-14,,
D-17-a,descriptivo,Superficie de infraestructuras de transporte,,,,,,ha,QT,a,,,,,1;5,1;5,,D-17-a,,
D-17-b,descriptivo,Porcentaje de superficie de infraestructuras de transporte respecto al término municipal,,,,,,%,QT,a,,,,,1;5,1;5,,D-17-b,,
D-18-a,descriptivo,Vehículos domiciliados cada 1000 habitantes,,,,,,x 1.000,QT,a,,,,,3;5,3;5,,D-18-a,,
D-18-b,descriptivo,Porcentaje de Turismos,,,,,,%,QT,a,,,,,3;5,3;5,,D-18-b,,
D-18-c,descriptivo,Porcentaje de motocicletas,,,,,,%,QT,a,,,,,3;5,3;5,,D-18-c,,
D-18-d,descriptivo,Antigüedad de parque de vehiculos,,,,,,%,QT,d,,,,,3;5,3;5,,D-18-d,,
D-22-a,descriptivo,Índice de envejecimiento de la población,,,,,,%,QT,d,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-a,,
D-22-b,descriptivo,Índice de senectud de la población,,,,,,%,QT,d,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-b,,
D-23,descriptivo,Porcentaje de población extranjera,,,,,,%,QT,a,,,,,2;6;7,2;6;7,,D-23,,
D-24-a,descriptivo,Índice de dependencia total,,,,,,%,QT,d,,,,,2;6;7,2;6;7,,D-24-a,,
D-24-b,descriptivo,Índice de dependencia infantil,,,,,,%,QT,d,,,,,2;6;7,2;6;7,,D-24-b,,
D-24-c,descriptivo,Índice de dependencia de mayores,,,,,,%,QT,d,,,,,2;6;7,2;6;7,,D-24-c,,
D-26-a,descriptivo,Trabajadores en sector agricultura,,,,,,%,QT,a,,,,,6;7;9,6;7;9,,D-26-a,,
D-26-b,descriptivo,Trabajadores en sector industria,,,,,,%,QT,a,,,,,6;7;9,6;7;9,,D-26-b,,
D-26-c,descriptivo,Trabajadores en sector construcción,,,,,,%,QT,a,,,,,6;7;9,6;7;9,,D-26-c,,
D-26-d,descriptivo,Trabajadores en sector servicios,,,,,,%,QT,a,,,,,6;7;9,6;7;9,,D-26-d,,
D-27-a,descriptivo,Establecimientos en sector agricultura,,,,,,%,QT,a,,,,,7;9,7;9,,D-27-a,,
D-27-b,descriptivo,Establecimientos en sector industria,,,,,,%,QT,a,,,,,7;9,7;9,,D-27-b,,
D-27-c,descriptivo,Establecimientos en sector construcción,,,,,,%,QT,a,,,,,7;9,7;9,,D-27-c,,
D-27-d,descriptivo,Establecimientos en sector servicios,,,,,,%,QT,a,,,,,7;9,7;9,,D-27-d,,
D-28-a,descriptivo,Porcentaje de parados total,,,,,,%,QT,d,,,,,6;7,6;7,,D-28-a,,
D-28-b,descriptivo,Porcentaje de parados entre 25 y 44 años,,,,,,%,QT,d,,,,,6;7,6;7,,D-28-b,,
D-28-c,descriptivo,Proporción de paro femenino,,,,,,%,QT,d,,,,,6;7,6;7,,D-28-c,,
D-29,descriptivo,Número de viviendas por cada 1.000 habitantes,,,,,,x 1.000,QT,a,,,,,2;8,2;8,,D-29,,
D-32,descriptivo,Variación del número de hogares en los últimos diez años,,,,,,%,QT,a,,,,,1;2;8,1;2;8,,D-32,,
D-33,descriptivo,Crecimiento del parque de vivienda los últimos diez años,,,,,,%,QT,a,,,,,1;2;4;8,1;2;4;8,,D-33,,
D-34-a,descriptivo,Porcentaje de vivienda secundaria,,,,,,%,QT,d,,,,,2;8,2;8,,D-34-a,,
D-35,descriptivo,Porcentaje de vivienda vacía,,,,,,%,QT,d,,,,,2;8,2;8,,D-35,,
D-ST-6,descriptivo,Porcentaje de viviendas previstas en áreas de desarrollo respecto al parque de vivienda existente,,,,,,%,QT,a,,,,,1;2;4;8,1;2;4;8,,D-ST-6,,
D-ST-7,descriptivo,Número de viviendas previstas en las áreas de desarrollo por cada 1.000 habitantes,,,,,,x 1.000,QT,a,,,,,1;2;4;8,1;2;4;8,,D-ST-7,,
D-37,descriptivo,FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,-,,,,,1;2;8;10,1;2;8;10,,D-37,,
D-38,descriptivo,FECHA DE LA FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,-,,,,,1;2;8;10,1;2;8;10,,D-38,,
D-30-a,descriptivo,Número de edificios con una vivienda,,,,,,%,QT,a,,,,,2;8,2;8,,D-30-a,,
D-30-b,descriptivo,Número de edificios con 2 o más viviendas,,,,,,%,QT,a,,,,,2;8,2;8,,D-30-b,,
D-34-b,descriptivo,Porcentaje de vivienda turística,,,,,,%,QT,d,,,,,2;8,2;8,,D-34-b,,
D-36,descriptivo,Accesibilidad a la vivienda,Precio medio de la viviendas respecto de la renta media familiar,,,,,%,QT,a,,,,,8,8,,D-36,,
1,agendas,Porcentaje de población con ingresos inferiores al 40% de la mediana,"Proporción de personas cuyos ingresos están por debajo del 40% de la renta mediana nacional, indicador de pobreza severa.",INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,d,0,23.36,1,1.1,,,1.1.1,,,
3,agendas,Renta mediana,Valor central de la distribución de ingresos equivalentes: el 50% de la población presenta ingresos superiores y el 50% inferiores. Se utiliza como referencia para umbrales de pobreza relativa.,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,€,QT,a,19950,13650,1,1.2,,,1.2.2,,,
2,agendas,Tasa de pobreza,Proporción de personas con ingresos por unidad de consumo por debajo del 60% de la mediana nacional de los ingresos por unidad de consumo (escala OCDE modificada).,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,d,0,38.37,1,1.2,6,6.1,1.2.1,6.1.2.b,2,2.1
210,agendas,Tasa de pobreza infantil,Porcentaje de menores de 18 años que viven en hogares con ingresos por debajo del umbral de pobreza nacional (60% de la mediana).,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,d,0,49.41,1,1.2,,,1.2.3,,,
5,agendas,Renta Garantizada de Ciudadanía por 10.000 habitantes,"Número de personas beneficiarias de la prestación de renta mínima por cada 10.000 habitantes, como proxy de cobertura de protección social.",IDESCAT,https://www.idescat.cat/pub/?id=ris&n=9549,2018-2024,,x10.000 hab,QT,a,13.7,220,1,1.3,,,1.3.1,,,
7,agendas,Proporción de personas con discapacidad que perciben una pensión,Porcentaje de personas con discapacidad reconocida que reciben prestación contributiva o no contributiva por incapacidad o invalidez.,IDESCAT,"https://www.idescat.cat/pub/?id=ppsr&n=9383 
https://www.idescat.cat/pub/?id=regdis&n=441 ",2016-2024,,%,QT,a,1,10,1,1.4,,,1.4.2,,,
8,agendas,Número de refugios climáticos,"Número de equipamientos climatizados y de acceso útil, habilitados para mitigar riesgos por eventos climáticos extremos, por municipio.",GENCAT,https://analisi.transparenciacatalunya.cat/Seguretat/Refugis-clim-tics-dels-municipis-de-Catalunya/9gu7-iwci/about_data,2024,,x10.000 hab,QT,a,84.01,2.72,1,1.5,,,1.5.1,,,
9,agendas,Superficie agrícola ecológica (porcentaje sobre el total agrícola),"Superficie de las explotaciones agrarias que cumplen con los requisitos determinados por el Reglamento del Consejo (CE) Núm. 834/2007, respecto a la superficie total agraria. De acuerdo con estas normas para calificar la producción como ecológica se requiere:
* Estar registrada ante la autoridad-organismo de control correspondiente en cada comunidad autónoma y someterse a sus controles.
* Identificación y separación de las parcelas, animales, y productos usados o producidos ecológicamente de los que no lo son.",GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,ha,QT,a,26.59,0.19,2,2.1,1,1.1,2.1.1,1.1.3.a,1,1.1
10,agendas,Tierras agrícolas por 100 habitantes,Superficie agraria útil (SAU) en hectáreas por cada 100 habitantes. Indicador de autosuficiencia potencial y presión demográfica sobre suelo productivo.,GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,ha x100 hab,QT,a,67.03,1.3,2,2.3,,,2.3.1,,,
12,agendas,Porcentaje de hectáreas de explotaciones de pequeña escala,Proporción de superficie agraria perteneciente a explotaciones clasificadas como pequeñas (según umbral de SAU físico: https://www.ine.es/dyngs/ODS/es/metadatos.htm?idSub=64),GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,%,QT,a,31.71,1.82,2,2.3,,,2.3.3,,,
