codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43001,1,57.67192281,2,2024
43001,10,9.997738068,1,2024
43001,3,22.4,1,2022
43001,6,52.345527965,2,2023
43002,1,73.387886775,2,2024
43002,10,32.57181633,1,2024
43002,3,96.2,1,2022
43002,6,65.85078344,2,2023
43003,1,78.92408981,2,2024
43003,10,0.0,1,2024
43003,3,74.1,1,2022
43003,6,81.416193135,2,2023
43004,1,62.144489365,2,2024
43004,10,42.34336123,1,2024
43004,3,0.0,1,2022
43004,6,44.681165445,2,2023
43005,1,58.134220406666664,3,2024
43005,10,50.98394029,1,2024
43005,2,4.233344683,1,2026
43005,3,0.0,1,2022
43005,6,67.76732389,2,2023
43006,1,45.4082898592,2,2024
43006,10,0.0,1,2024
43006,3,0.0,1,2022
43006,6,56.71489776999999,2,2023
43007,1,54.770071395,2,2024
43007,10,0.0,1,2024
43007,3,84.2,1,2022
43007,6,63.902347000000006,2,2023
43008,1,95.333644425,2,2024
43008,10,0.0,1,2024
43008,3,0.0,1,2022
43008,6,68.20083682,1,2023
43009,1,52.642676525,2,2024
43009,10,0.0,1,2024
43009,3,0.0,1,2022
43009,6,66.6494919,2,2023
43010,1,45.333644425,2,2024
43010,10,2.284551007,1,2024
43010,3,94.7,1,2022
43010,6,69.341677545,2,2023
43011,1,44.273711666666664,3,2024
43011,10,15.24541959,1,2024
43011,2,8.205652026,1,2026
43011,3,96.7,1,2022
43011,6,71.52859789499999,2,2023
43012,1,36.256334249300004,3,2024
43012,10,41.61954309,1,2024
43012,2,5.81091817,1,2026
43012,3,96.0,1,2022
43012,6,59.395579055,2,2023
43013,1,54.745189585000006,2,2024
43013,10,40.01357159,1,2024
43013,3,0.0,1,2022
43013,6,44.40636917,2,2023
43014,1,63.061935045,2,2024
43014,10,24.15743045,1,2024
43014,3,44.8,1,2022
43014,6,43.792930104999996,2,2023
43015,1,92.19853619,2,2024
43015,10,0.0,1,2024
43015,3,29.5,1,2022
43015,6,37.23849372,1,2023
43016,1,45.482935293400004,2,2024
43016,10,55.05541733,1,2024
43016,3,0.0,1,2022
