code,id,NMun,1Q,MEDIO,3Q
D-1>5.000,D-1,>5.000,-3.60,1.50,7.30
D-1>100.000,D-1,>100.000,-1.80,1.70,4.20
D-150.000-100.000,D-1,50.000-100.000,-1.60,3.10,8.40
D-120.000-50.000,D-1,20.000-50.000,-1.80,2.70,8.00
D-15.000-20.000,D-1,5.000-20.000,-4.50,0.50,7.40
D-1<5.000,D-1,<5.000,-20.20,-12.30,-3.60
D-2-a>5.000,D-2-a,>5.000,3.50,9.00,21.90
D-2-a>100.000,D-2-a,>100.000,18.40,35.80,52.40
D-2-a50.000-100.000,D-2-a,50.000-100.000,8.80,21.10,41.70
D-2-a20.000-50.000,D-2-a,20.000-50.000,5.00,13.00,29.00
D-2-a5.000-20.000,D-2-a,5.000-20.000,2.70,6.70,15.40
D-2-a<5.000,D-2-a,<5.000,0.00,0.40,1.70
D-2-b>5.000,D-2-b,>5.000,14.20,34.70,58.10
D-2-b>100.000,D-2-b,>100.000,11.30,26.50,40.70
D-2-b50.000-100.000,D-2-b,50.000-100.000,9.20,23.70,42.70
D-2-b20.000-50.000,D-2-b,20.000-50.000,13.70,30.40,50.90
D-2-b5.000-20.000,D-2-b,5.000-20.000,15.90,37.40,61.60
D-2-b<5.000,D-2-b,<5.000,14.20,38.70,70.40
D-2-d>5.000,D-2-d,>5.000,16.20,38.40,60.00
D-2-d>100.000,D-2-d,>100.000,12.90,32.50,41.80
D-2-d50.000-100.000,D-2-d,50.000-100.000,21.00,33.40,51.70
D-2-d20.000-50.000,D-2-d,20.000-50.000,13.00,34.60,53.60
D-2-d5.000-20.000,D-2-d,5.000-20.000,17.70,41.90,64.00
D-2-d<5.000,D-2-d,<5.000,24.00,55.30,78.90
D-3-a>5.000,D-3-a,>5.000,0.08,0.17,0.38
D-3-a>100.000,D-3-a,>100.000,0.08,0.19,0.40
D-3-a50.000-100.000,D-3-a,50.000-100.000,0.08,0.21,0.39
D-3-a20.000-50.000,D-3-a,20.000-50.000,0.02,0.11,0.29
D-3-a5.000-20.000,D-3-a,5.000-20.000,0.08,0.18,0.37
D-3-a<5.000,D-3-a,<5.000,0.06,0.15,0.33
D-3-b>5.000,D-3-b,>5.000,0.81,2.30,6.01
D-3-b>100.000,D-3-b,>100.000,0.23,0.60,2.00
D-3-b50.000-100.000,D-3-b,50.000-100.000,0.38,1.04,3.38
D-3-b20.000-50.000,D-3-b,20.000-50.000,0.11,0.90,3.65
D-3-b5.000-20.000,D-3-b,5.000-20.000,1.17,3.11,7.21
D-3-b<5.000,D-3-b,<5.000,4.47,12.91,34.27
D-4>5.000,D-4,>5.000,73.90,88.90,96.10
D-4>100.000,D-4,>100.000,39.60,64.10,76.30
D-450.000-100.000,D-4,50.000-100.000,58.80,76.60,86.30
D-420.000-50.000,D-4,20.000-50.000,68.00,85.50,93.60
D-45.000-20.000,D-4,5.000-20.000,80.40,91.70,96.90
D-4<5.000,D-4,<5.000,0.00,85.40,98.90
D-5>5.000,D-5,>5.000,1.70,2.90,5.80
D-5>100.000,D-5,>100.000,1.20,1.90,2.60
D-550.000-100.000,D-5,50.000-100.000,1.80,2.50,3.80
D-520.000-50.000,D-5,20.000-50.000,1.60,2.80,5.10
D-55.000-20.000,D-5,5.000-20.000,1.70,3.20,6.80
D-5<5.000,D-5,<5.000,1.90,5.20,12.30
D-6>5.000,D-6,>5.000,33.10,49.80,73.50
D-6>100.000,D-6,>100.000,77.70,99.70,124.60
D-650.000-100.000,D-6,50.000-100.000,47.90,68.40,92.10
D-620.000-50.000,D-6,20.000-50.000,40.50,57.00,81.60
D-65.000-20.000,D-6,5.000-20.000,27.90,43.00,62.80
D-6<5.000,D-6,<5.000,9.60,15.60,26.40
D-7>5.000,D-7,>5.000,9.00,25.90,52.40
D-7>100.000,D-7,>100.000,4.30,15.60,26.70
D-750.000-100.000,D-7,50.000-100.000,10.70,24.50,49.80
D-720.000-50.000,D-7,20.000-50.000,9.50,28.20,55.90
D-75.000-20.000,D-7,5.000-20.000,8.50,26.00,52.60
D-7<5.000,D-7,<5.000,10.30,24.20,51.30
D-8>5.000,D-8,>5.000,16.90,25.60,37.50
D-8>100.000,D-8,>100.000,35.90,48.20,59.10
D-850.000-100.000,D-8,50.000-100.000,22.70,31.40,42.90
D-820.000-50.000,D-8,20.000-50.000,21.00,29.50,41.60
D-85.000-20.000,D-8,5.000-20.000,14.80,22.40,33.10
D-8<5.000,D-8,<5.000,10.00,15.60,23.30
D-9>5.000,D-9,>5.000,0.44,0.62,0.83
D-9>100.000,D-9,>100.000,0.75,0.90,1.06
D-950.000-100.000,D-9,50.000-100.000,0.55,0.67,0.84
D-920.000-50.000,D-9,20.000-50.000,0.50,0.67,0.87
D-95.000-20.000,D-9,5.000-20.000,0.40,0.56,0.76
D-9<5.000,D-9,<5.000,0.31,0.42,0.60
D-10-a>5.000,D-10-a,>5.000,0.27,0.38,0.51
D-10-a>100.000,D-10-a,>100.000,0.46,0.54,0.63
D-10-a50.000-100.000,D-10-a,50.000-100.000,0.33,0.41,0.51
D-10-a20.000-50.000,D-10-a,20.000-50.000,0.30,0.41,0.52
D-10-a5.000-20.000,D-10-a,5.000-20.000,0.24,0.36,0.49
D-10-a<5.000,D-10-a,<5.000,0.20,0.28,0.41
D-10-b>5.000,D-10-b,>5.000,56.70,64.50,71.70
D-10-b>100.000,D-10-b,>100.000,55.00,58.80,62.30
D-10-b50.000-100.000,D-10-b,50.000-100.000,55.40,60.90,64.90
D-10-b20.000-50.000,D-10-b,20.000-50.000,54.50,62.70,68.50
D-10-b5.000-20.000,D-10-b,5.000-20.000,58.30,66.80,73.40
D-10-b<5.000,D-10-b,<5.000,62.40,71.00,78.30
D-ST-1>5.000,D-ST-1,>5.000,56.70,64.50,71.70
D-ST-1>100.000,D-ST-1,>100.000,33.20,43.30,54.90
D-ST-150.000-100.000,D-ST-1,50.000-100.000,24.40,35.20,48.40
D-ST-120.000-50.000,D-ST-1,20.000-50.000,22.00,33.40,46.40
D-ST-15.000-20.000,D-ST-1,5.000-20.000,23.80,34.00,46.40
D-ST-1<5.000,D-ST-1,<5.000,20.60,29.90,38.40
D-ST-2>5.000,D-ST-2,>5.000,17.10,35.00,64.40
D-ST-2>100.000,D-ST-2,>100.000,13.30,30.20,48.90
D-ST-250.000-100.000,D-ST-2,50.000-100.000,15.30,34.50,61.50
D-ST-220.000-50.000,D-ST-2,20.000-50.000,18.30,36.30,67.30
D-ST-25.000-20.000,D-ST-2,5.000-20.000,16.20,35.20,65.00
D-ST-2<5.000,D-ST-2,<5.000,0.00,14.70,49.30
D-ST-3>5.000,D-ST-3,>5.000,12.20,28.30,53.60
D-ST-3>100.000,D-ST-3,>100.000,9.60,25.40,46.40
D-ST-350.000-100.000,D-ST-3,50.000-100.000,10.50,27.30,50.60
D-ST-320.000-50.000,D-ST-3,20.000-50.000,14.20,29.90,59.50
D-ST-35.000-20.000,D-ST-3,5.000-20.000,11.60,28.50,55.20
D-ST-3<5.000,D-ST-3,<5.000,0.00,5.50,36.10
D-ST-4>5.000,D-ST-4,>5.000,8.60,20.00,36.00
D-ST-4>100.000,D-ST-4,>100.000,6.20,14.30,27.70
D-ST-450.000-100.000,D-ST-4,50.000-100.000,9.00,21.30,37.20
D-ST-420.000-50.000,D-ST-4,20.000-50.000,8.00,19.40,37.50
D-ST-45.000-20.000,D-ST-4,5.000-20.000,8.80,20.10,36.10
D-ST-4<5.000,D-ST-4,<5.000,11.20,23.20,46.10
D-ST-5>5.000,D-ST-5,>5.000,5.90,14.30,30.70
D-ST-5>100.000,D-ST-5,>100.000,2.90,9.00,15.80
D-ST-550.000-100.000,D-ST-5,50.000-100.000,4.10,9.80,22.10
D-ST-520.000-50.000,D-ST-5,20.000-50.000,4.10,13.20,31.10
D-ST-55.000-20.000,D-ST-5,5.000-20.000,6.20,16.10,31.70
D-ST-5<5.000,D-ST-5,<5.000,8.20,18.70,45.00
D-14>5.000,D-14,>5.000,50.10,59.80,67.40
D-14>100.000,D-14,>100.000,65.00,70.20,75.40
D-1450.000-100.000,D-14,50.000-100.000,54.20,64.70,70.20
D-1420.000-50.000,D-14,20.000-50.000,52.40,61.30,68.50
D-145.000-20.000,D-14,5.000-20.000,48.50,58.60,65.60
D-14<5.000,D-14,<5.000,57.10,68.90,77.40
D-17-a>5.000,D-17-a,>5.000,32.80,71.90,155.80
D-17-a>100.000,D-17-a,>100.000,221.30,461.70,797.20
D-17-a50.000-100.000,D-17-a,50.000-100.000,107.50,190.60,317.20
D-17-a20.000-50.000,D-17-a,20.000-50.000,53.80,99.60,199.90
D-17-a5.000-20.000,D-17-a,5.000-20.000,27.00,53.30,107.30
D-17-a<5.000,D-17-a,<5.000,7.70,17.60,38.90
D-17-b>5.000,D-17-b,>5.000,0.70,1.40,2.70
D-17-b>100.000,D-17-b,>100.000,2.90,3.90,6.40
D-17-b50.000-100.000,D-17-b,50.000-100.000,1.50,2.30,4.30
D-17-b20.000-50.000,D-17-b,20.000-50.000,0.90,1.60,3.10
D-17-b5.000-20.000,D-17-b,5.000-20.000,0.50,1.10,2.20
D-17-b<5.000,D-17-b,<5.000,0.20,0.50,1.00
D-18-a>5.000,D-18-a,>5.000,549.80,592.40,646.90
D-18-a>100.000,D-18-a,>100.000,504.30,539.90,574.50
D-18-a50.000-100.000,D-18-a,50.000-100.000,538.90,565.50,590.40
D-18-a20.000-50.000,D-18-a,20.000-50.000,541.90,573.90,615.70
D-18-a5.000-20.000,D-18-a,5.000-20.000,558.70,607.20,662.60
D-18-a<5.000,D-18-a,<5.000,627.50,714.30,822.60
D-18-b>5.000,D-18-b,>5.000,67.70,71.30,74.60
D-18-b>100.000,D-18-b,>100.000,70.60,73.90,77.80
D-18-b50.000-100.000,D-18-b,50.000-100.000,70.60,73.60,76.70
D-18-b20.000-50.000,D-18-b,20.000-50.000,68.10,72.00,75.20
D-18-b5.000-20.000,D-18-b,5.000-20.000,67.00,70.60,74.00
D-18-b<5.000,D-18-b,<5.000,59.80,65.80,71.40
D-18-c>5.000,D-18-c,>5.000,7.20,8.90,11.50
D-18-c>100.000,D-18-c,>100.000,7.90,10.80,13.90
D-18-c50.000-100.000,D-18-c,50.000-100.000,7.70,10.00,14.00
D-18-c20.000-50.000,D-18-c,20.000-50.000,7.90,10.00,12.20
D-18-c5.000-20.000,D-18-c,5.000-20.000,6.90,8.50,10.80
D-18-c<5.000,D-18-c,<5.000,5.00,6.90,9.30
D-22-a>5.000,D-22-a,>5.000,14.60,17.10,19.60
D-22-a>100.000,D-22-a,>100.000,18.10,20.90,9.20
D-22-a50.000-100.000,D-22-a,50.000-100.000,13.80,16.00,19.10
D-22-a20.000-50.000,D-22-a,20.000-50.000,13.70,16.30,18.20
D-22-a5.000-20.000,D-22-a,5.000-20.000,17.30,20.10,9.60
D-22-a<5.000,D-22-a,<5.000,27.80,34.90,11.50
D-22-b>5.000,D-22-b,>5.000,9.20,11.00,12.70
D-22-b>100.000,D-22-b,>100.000,9.20,10.60,11.90
D-22-b50.000-100.000,D-22-b,50.000-100.000,8.20,9.40,11.50
D-22-b20.000-50.000,D-22-b,20.000-50.000,8.80,10.10,11.40
