codigo_ine,nombre,poblacion,id_poblacion,id_especial,id_especial2,id_especial3
43001,Aiguamúrcia,987,<5.000,Alt Camp,Municipios de servicios generales,
43002,Albinyana,2718,<5.000,Baix Penedès,Municipios industriales,
43003,"Albiol, L'",557,<5.000,Baix Camp,Municipios de servicios generales,
43004,Alcanar,10104,5.000-20.000,Montsià,Municipios mixtos,
43005,Alcover,5362,5.000-20.000,Alt Camp,Municipios industriales,aue
43006,Aldover,901,<5.000,Baix Ebre,Municipios industriales,
43007,"Aleixar, L'",1009,<5.000,Baix Camp,Municipios mixtos,
43008,Alfara de Carles,355,<5.000,Baix Ebre,Municipios industriales,
43009,Alforja,2024,<5.000,Baix Camp,Municipios industriales,
43010,Alió,496,<5.000,Alt Camp,Municipios industriales,
43011,Almoster,1384,<5.000,Baix Camp,Municipios de servicios generales,aue
43012,Altafulla,5870,5.000-20.000,Tarragonès,Municipios de servicios generales,aue
43013,"Ametlla de Mar, L'",7446,5.000-20.000,Baix Ebre,Municipios mixtos,
43014,Amposta,23080,20.000-50.000,Montsià,Municipios de servicios generales,
43015,Arbolí,138,<5.000,Baix Camp,Municipio de proximidad,
43016,"Arboç, L'",5721,5.000-20.000,Baix Penedès,Municipios industriales,
43017,"Argentera, L'",139,<5.000,Baix Camp,Municipio de proximidad,
43018,Arnes,461,<5.000,Terra Alta,Municipios mixtos,
43019,Ascó,1589,<5.000,Ribera d'Ebre,Municipios de servicios generales,
43020,Banyeres del Penedès,3395,<5.000,Baix Penedès,Municipios industriales,
43021,Barberà de la Conca,476,<5.000,Conca de Barberà,Municipios industriales,
43022,Batea,1875,<5.000,Terra Alta,Municipios agroproductivos,
43023,Bellmunt del Priorat,290,<5.000,Priorat,Municipios industriales,
43024,Bellvei,2460,<5.000,Baix Penedès,Municipios logístico-comerciales,
43025,Benifallet,706,<5.000,Baix Ebre,Municipios mixtos,
43026,Benissanet,1186,<5.000,Ribera d'Ebre,Municipios agroproductivos,
43027,"Bisbal de Montsant, La",214,<5.000,Priorat,Municipios agroproductivos,
43028,"Bisbal del Penedès, La",4278,<5.000,Baix Penedès,Municipios logístico-comerciales,
43029,Blancafort,392,<5.000,Conca de Barberà,Municipios agroproductivos,
43030,Bonastre,777,<5.000,Baix Penedès,Municipios de servicios generales,
43031,"Borges del Camp, Les",2319,<5.000,Baix Camp,Municipios industriales,aue
43032,Bot,548,<5.000,Terra Alta,Municipios agroproductivos,
43033,Botarell,1161,<5.000,Baix Camp,Municipios industriales,
43034,Bràfim,697,<5.000,Alt Camp,Municipios industriales,
43035,Cabacés,296,<5.000,Priorat,Municipios agroproductivos,
43036,Cabra del Camp,1388,<5.000,Alt Camp,Municipios mixtos,
43037,Calafell,32624,20.000-50.000,Baix Penedès,Municipios de servicios generales,
43038,Cambrils,37042,20.000-50.000,Baix Camp,Municipios de servicios generales,aue
43039,Capafonts,101,<5.000,Baix Camp,Municipio de proximidad,
43040,Capçanes,444,<5.000,Priorat,Municipios industriales,
43041,Caseres,250,<5.000,Terra Alta,Municipio de proximidad,
43042,Castellvell del Camp,3002,<5.000,Baix Camp,Municipios de servicios generales,aue
43043,"Catllar, El",5375,5.000-20.000,Tarragonès,Municipios de servicios generales,aue
43044,"Sénia, La",5516,5.000-20.000,Montsià,Municipios industriales,
43045,Colldejou,155,<5.000,Baix Camp,Municipio de proximidad,
43046,Conesa,111,<5.000,Conca de Barberà,Municipio de proximidad,
43047,Constantí,7108,5.000-20.000,Tarragonès,Municipios logístico-comerciales,aue
43048,Corbera d'Ebre,1023,<5.000,Terra Alta,Municipios agroproductivos,
43049,Cornudella de Montsant,999,<5.000,Priorat,Municipios turístico-culturales,
43050,Creixell,4261,<5.000,Tarragonès,Municipios de servicios generales,
43051,Cunit,16385,5.000-20.000,Baix Penedès,Municipios de servicios generales,
43052,Xerta,1180,<5.000,Baix Ebre,Municipios turístico-culturales,
43053,Duesaigües,217,<5.000,Baix Camp,Municipio de proximidad,
43054,"Espluga de Francolí, L'",3863,<5.000,Conca de Barberà,Municipios industriales,
43055,Falset,2890,<5.000,Priorat,Municipios de servicios generales,
43056,"Fatarella, La",840,<5.000,Terra Alta,Municipios mixtos,
43057,"Febró, La",35,<5.000,Baix Camp,Municipio de proximidad,
43058,"Figuera, La",115,<5.000,Priorat,Municipio de proximidad,
43059,Figuerola del Camp,342,<5.000,Alt Camp,Municipios logístico-comerciales,
43060,Flix,3340,<5.000,Ribera d'Ebre,Municipios de servicios generales,
43061,Forès,38,<5.000,Conca de Barberà,Municipio de proximidad,
43062,Freginals,443,<5.000,Montsià,Municipio de proximidad,
43063,"Galera, La",726,<5.000,Montsià,Municipios industriales,
43064,Gandesa,3150,<5.000,Terra Alta,Municipios industriales,
43065,Garcia,551,<5.000,Ribera d'Ebre,Municipios mixtos,
43066,"Garidells, Els",211,<5.000,Alt Camp,Municipios de servicios generales,aue
43067,Ginestar,800,<5.000,Ribera d'Ebre,Municipios mixtos,
43068,Godall,591,<5.000,Montsià,Municipios agroproductivos,
43069,Gratallops,226,<5.000,Priorat,Municipios industriales,
43070,"Guiamets, Els",254,<5.000,Priorat,Municipios de servicios generales,
43071,Horta de Sant Joan,1150,<5.000,Terra Alta,Municipios mixtos,
43072,"Lloar, El",99,<5.000,Priorat,Municipio de proximidad,
43073,Llorac,105,<5.000,Conca de Barberà,Municipio de proximidad,
43074,Llorenç del Penedès,2425,<5.000,Baix Penedès,Municipios industriales,
