id,long_code,nombre,poblacion
11852,19289AA000,Traíd                                                                 ,22
11866,19304AA000,Valdenuño Fernández                                                   ,335
11874,19314AA000,Viana de Jadraque                                                     ,39
11888,19332AA000,Yunta (La)                                                            ,94
11545,19003AA000,Adobes                                                                ,30
11555,19007AA000,Albares                                                               ,523
11610,19042AA000,Arroyo de las Fraguas                                                 ,33
11615,19045AA000,Auñón                                                                 ,146
11620,19050AA000,Barriopedro                                                           ,20
11622,19052AA000,Bodera (La)                                                           ,21
11629,19058AA000,Cabanillas del Campo                                                  ,11034
11665,19098AA000,Copernal                                                              ,38
11677,19107AA000,Driebes                                                               ,349
11695,19125AA000,Gajanejos                                                             ,61
11709,19145AA000,Hortezuela de Océn                                                    ,37
11747,19184AA000,Millana                                                               ,113
11754,19188AA000,Mochales                                                              ,40
11776,19212AA000,Pastrana                                                              ,901
11788,19224AA000,Pozo de Almoguera                                                     ,113
11790,19226AA000,Prádena de Atienza                                                    ,56
11796,19231AA000,Rebollosa de Jadraque                                                 ,10
11804,19239AA000,Robledillo de Mohernando                                              ,178
11818,19254AA000,Selas                                                                 ,36
11823,19259AA000,Somolinos                                                             ,27
11552,19005MM000,Mc. Interm. Campiña Alta                                              ,0
11562,19010MM000,Mc. Cimasol                                                           ,0
11567,19013MM000,Mc. Recogida Residuos Sólidos de Brihuega y Alaminos                  ,0
11572,19016MM000,Mc. Alto Rey                                                          ,0
11580,19020MM000,Mc. Interm. Campo-Mesa                                                ,0
11585,19022MM000,Mc. Serv. Río Gallo                                                   ,0
11587,19023MM000,Mc. Serv. Del Ocejón                                                  ,0
11598,19031MM000,Mc. La Sexma del Pedregal                                             ,0
11570,19015MM000,Mc. M. Villas Alcarreñas                                              ,0
11596,19030MM000,Mc. Riberas del Tajo                                                  ,0
11547,19003MM000,Mc. La Alcarria                                                       ,0
19092,20010AA000,Anoeta                                                                ,2095
19096,20011AA000,Antzuola                                                              ,2082
19101,20012AA000,Arama                                                                 ,189
19109,20014AA000,Asteasu                                                               ,1546
19111,20015AA000,Ataun                                                                 ,1694
19122,20018AA000,Azpeitia                                                              ,15183
19129,20019AA000,Beasain                                                               ,13970
19137,20021AA000,Belauntza                                                             ,286
19139,20022AA000,Berastegi                                                             ,1083
19141,20023AA000,Berrobi                                                               ,575
19143,20024AA000,Bidania-Goiatz                                                        ,538
19146,20025AA000,Zegama                                                                ,1542
19151,20027AA000,Zestoa                                                                ,3785
19156,20029AA000,Deba                                                                  ,5393
19162,20030AA000,Eibar                                                                 ,27234
19166,20031AA000,Elduain                                                               ,237
19167,20032AA000,Elgoibar                                                              ,11500
19177,20035AA000,Ezkio-Itsaso                                                          ,604
19182,20039AA000,Getaria                                                               ,2868
19185,20040AA000,Hernani                                                               ,20527
19188,20041AA000,Hernialde                                                             ,313
19189,20042AA000,Ibarra                                                                ,4130
19192,20044AA000,Ikaztegieta                                                           ,487
19203,20047AA000,Itsasondo                                                             ,656
19204,20048AA000,Larraul                                                               ,257
19205,20049AA000,Lazkao                                                                ,6013
19214,20052AA000,Legorreta                                                             ,1464
19215,20053AA000,Lezo                                                                  ,6008
19217,20055AA000,Arrasate/Mondragón                                                    ,21867
19226,20058AA000,Olaberria                                                             ,918
19241,20063AA000,Oiartzun                                                              ,10331
19243,20064AA000,Pasaia                                                                ,15857
19248,20065AA000,Soraluze-Placencia de las Armas                                       ,3751
19256,20068AA000,Leintz-Gatzaga                                                        ,194
19258,20069AA000,Donostia/San Sebastián                                                ,188743
19279,20070AA000,Segura                                                                ,1460
19281,20071AA000,Tolosa                                                                ,20065
19286,20072AA000,Urnieta                                                               ,6200
19297,20075AA000,Villabona                                                             ,5826
19306,20077AA000,Urretxu                                                               ,6739
19307,20078AA000,Zaldibia                                                              ,1735
19308,20079AA000,Zarautz                                                               ,23152
