codigo_ine,nombre,comarca,nombre_comarca
43001,Aiguamúrcia,01,Alt Camp
43002,Albinyana,12,Baix Penedès
43003,"Albiol, l'",08,Baix Camp
43004,Alcanar,22,Montsià
43005,Alcover,01,Alt Camp
43904,"Aldea, l'",09,Baix Ebre
43006,Aldover,09,Baix Ebre
43007,"Aleixar, l'",08,Baix Camp
43008,Alfara de Carles,09,Baix Ebre
43009,Alforja,08,Baix Camp
43010,Alió,01,Alt Camp
43011,Almoster,08,Baix Camp
43012,Altafulla,36,Tarragonès
43013,"Ametlla de Mar, l'",09,Baix Ebre
43906,"Ampolla, l'",09,Baix Ebre
43014,Amposta,22,Montsià
43016,"Arboç, l'",12,Baix Penedès
43015,Arbolí,08,Baix Camp
43017,"Argentera, l'",08,Baix Camp
43018,Arnes,37,Terra Alta
43019,Ascó,30,Ribera d'Ebre
43020,Banyeres del Penedès,12,Baix Penedès
43021,Barberà de la Conca,16,Conca de Barberà
43022,Batea,37,Terra Alta
43023,Bellmunt del Priorat,29,Priorat
43024,Bellvei,12,Baix Penedès
43025,Benifallet,09,Baix Ebre
43026,Benissanet,30,Ribera d'Ebre
43027,"Bisbal de Montsant, la",29,Priorat
43028,"Bisbal del Penedès, la",12,Baix Penedès
43029,Blancafort,16,Conca de Barberà
43030,Bonastre,12,Baix Penedès
43031,"Borges del Camp, les",08,Baix Camp
43032,Bot,37,Terra Alta
43033,Botarell,08,Baix Camp
43034,Bràfim,01,Alt Camp
43035,Cabacés,29,Priorat
43036,Cabra del Camp,01,Alt Camp
43037,Calafell,12,Baix Penedès
43903,Camarles,09,Baix Ebre
43038,Cambrils,08,Baix Camp
43907,"Canonja, la",36,Tarragonès
43039,Capafonts,08,Baix Camp
43040,Capçanes,29,Priorat
43041,Caseres,37,Terra Alta
43042,Castellvell del Camp,08,Baix Camp
43043,"atllar, el",36,Tarragonès
43045,Colldejou,08,Baix Camp
43046,Conesa,16,Conca de Barberà
43047,Constantí,36,Tarragonès
43048,Corbera d'Ebre,37,Terra Alta
43049,Cornudella de Montsant,29,Priorat
43050,Creixell,36,Tarragonès
43051,Cunit,12,Baix Penedès
43901,Deltebre,09,Baix Ebre
43053,Duesaigües,08,Baix Camp
43054,"Espluga de Francolí, l'",16,Conca de Barberà
43055,Falset,29,Priorat
43056,"Fatarella, la",37,Terra Alta
43057,"Febró, la",08,Baix Camp
43058,"Figuera, la",29,Priorat
43059,Figuerola del Camp,01,Alt Camp
43060,Flix,30,Ribera d'Ebre
43061,Forès,16,Conca de Barberà
43062,Freginals,22,Montsià
43063,"Galera, la",22,Montsià
43064,Gandesa,37,Terra Alta
43065,Garcia,30,Ribera d'Ebre
43066,"Garidells, els",01,Alt Camp
43067,Ginestar,30,Ribera d'Ebre
43068,Godall,22,Montsià
43069,Gratallops,29,Priorat
43070,"Guiamets, els",29,Priorat
43071,Horta de Sant Joan,37,Terra Alta
